No ,Time,Horai,Result,Actions
1,04.30to06.00pm,Raahu,Good,Sunday
2,07.30to09.00am,Raahu,Good,Monday
3,03.00to04.30pm,Raahu,Good,Tuesday
4,12.00to01.00pm,Raahu,Good,Wednesday
5,01.30to03.00pm,Raahu,Good,Thursday
6,10.30to12.00am,Raahu,Good,Friday
7,09.00to10.30am,Raahu,Good,Saturday
